id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
31171,Miranda de Arga,2020-11-01,1,40,0.98,114.86,7056.33,0.98
31172,Monreal,2020-11-01,1,29,0.97,250.68,4365.03,0.94
31173,Monteagudo,2020-11-01,5,38,0.87,229.74,7240.68,0.97
31174,Morentin,2020-11-01,2,18,0.89,56.11,2443.74,0.98
31175,Mues,2020-11-01,1,23,0.96,53.20,2564.56,0.98
31176,Murchante,2020-11-01,21,106,0.80,2665.09,20407.23,0.87
31177,Murieta,2020-11-01,3,30,0.90,631.53,4533.19,0.86
31178,Murillo el Cuende,2020-11-01,13,60,0.78,1295.46,7902.43,0.84
31179,Murillo el Fruto,2020-11-01,1,48,0.98,81.74,7042.58,0.99
31180,Muruzábal,2020-11-01,0,39,1.00,0.00,4967.81,1.00
31181,Navascués / Nabaskoze,2020-11-01,6,34,0.82,184.11,4131.04,0.96
31182,Nazar,2020-11-01,0,12,1.00,0.00,2044.79,1.00
31183,Obanos,2020-11-01,0,92,1.00,0.00,13494.44,1.00
31184,Oco,2020-11-01,2,24,0.92,21.09,1629.30,0.99
31185,Ochagavía/Otsagabia,2020-11-01,0,48,1.00,0.00,3863.99,1.00
31186,Odieta,2020-11-01,0,38,1.00,0.00,3852.30,1.00
31187,Oitz,2020-11-01,0,7,1.00,0.00,1141.90,1.00
31188,Olaibar,2020-11-01,0,37,1.00,0.00,3885.05,1.00
31189,Olazti / Olazagutía,2020-11-01,0,61,1.00,0.00,6273.64,1.00
31190,Olejua,2020-11-01,0,11,1.00,0.00,1133.65,1.00
31191,Olite/Erriberri,2020-11-01,16,165,0.90,872.29,22849.68,0.96
31192,Olóriz,2020-11-01,6,55,0.89,406.31,5318.00,0.92
31193,Olza,2020-11-01,13,149,0.91,1026.22,16874.59,0.94
31194,Valle de Ollo/Ollaran,2020-11-01,2,69,0.97,270.53,7657.02,0.96
31195,Orbaitzeta,2020-11-01,0,43,1.00,0.00,3292.04,1.00
31196,Orbara,2020-11-01,0,16,1.00,0.00,1195.31,1.00
31197,Orísoain,2020-11-01,6,21,0.71,219.82,1152.34,0.81
31198,Oronz,2020-11-01,0,6,1.00,0.00,894.04,1.00
31199,Oroz-Betelu / Orotz-Betelu,2020-11-01,1,30,0.97,6.01,2583.80,1.00
31200,Oteiza,2020-11-01,4,47,0.91,472.06,6627.83,0.93
31201,Pamplona/Iruña,2020-11-01,38,1933,0.98,2434.34,241137.30,0.99
31202,Peralta,2020-11-01,34,186,0.82,2712.46,24966.44,0.89
31203,Petilla de Aragón,2020-11-01,0,8,1.00,0.00,500.46,1.00
31204,Piedramillera,2020-11-01,1,16,0.94,37.19,1707.48,0.98
31205,Pitillas,2020-11-01,0,48,1.00,0.00,6418.72,1.00
31206,Puente la Reina/Gares,2020-11-01,0,95,1.00,0.00,12784.54,1.00
31207,Pueyo / Puiu,2020-11-01,0,53,1.00,0.00,7295.81,1.00
31208,Ribaforada,2020-11-01,26,81,0.68,4021.08,19435.04,0.79
31209,Romanzado,2020-11-01,0,31,1.00,0.00,4197.21,1.00
31210,Roncal/Erronkari,2020-11-01,0,18,1.00,0.00,1966.47,1.00
31211,Orreaga/Roncesvalles,2020-11-01,0,3,1.00,0.00,133.96,1.00
31212,Sada,2020-11-01,3,34,0.91,313.35,3409.91,0.91
31213,Saldias,2020-11-01,0,9,1.00,0.00,824.62,1.00
31214,Salinas de Oro,2020-11-01,5,12,0.58,297.67,1767.02,0.83
31215,San Adrián,2020-11-01,8,154,0.95,505.49,29146.39,0.98
31216,Sangüesa/Zangoza,2020-11-01,2,132,0.98,1135.33,18306.74,0.94
31217,San Martín de Unx,2020-11-01,3,42,0.93,125.47,6028.16,0.98
