id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
14066,Villa del Río,2020-11-01,20,172,0.88,22201.71,2396.44,0.89
14067,Villafranca de Córdoba,2020-11-01,28,112,0.75,19685.25,5301.11,0.73
14068,Villaharta,2020-11-01,11,39,0.72,7411.71,3471.72,0.53
14069,Villanueva de Córdoba,2020-11-01,15,261,0.94,37919.78,1350.23,0.96
14070,Villanueva del Duque,2020-11-01,11,67,0.84,10607.07,2151.83,0.80
14071,Villanueva del Rey,2020-11-01,3,48,0.94,7023.39,148.69,0.98
14072,Villaralto,2020-11-01,3,50,0.94,7265.10,142.46,0.98
14073,Villaviciosa de Córdoba,2020-11-01,13,112,0.88,19081.05,4673.36,0.76
14074,El Viso,2020-11-01,12,104,0.88,16981.84,1006.97,0.94
14075,Zuheros,2020-11-01,7,34,0.79,3380.78,503.30,0.85
14901,Fuente Carreteros,2020-11-01,10,10,0.00,3145.34,3145.34,0.00
14902,La Guijarrosa,2020-11-01,24,25,0.04,4514.66,4339.24,0.04
18001,Agrón,2020-11-01,0,45,1.00,3952.77,0.00,1.00
18002,Alamedilla,2020-11-01,0,83,1.00,7021.00,0.00,1.00
18003,Albolote,2020-11-01,17,619,0.97,82205.55,882.36,0.99
18004,Albondón,2020-11-01,0,134,1.00,9287.06,0.00,1.00
18005,Albuñán,2020-11-01,0,76,1.00,9409.01,0.00,1.00
18006,Albuñol,2020-11-01,2,364,0.99,26897.29,91.83,1.00
18007,Albuñuelas,2020-11-01,0,126,1.00,7755.30,0.00,1.00
18010,Aldeire,2020-11-01,0,117,1.00,10560.87,0.00,1.00
18011,Alfacar,2020-11-01,1,310,1.00,35722.70,12.70,1.00
18012,Algarinejo,2020-11-01,0,162,1.00,16539.02,0.00,1.00
18013,Alhama de Granada,2020-11-01,1,333,1.00,34127.87,82.27,1.00
18014,Alhendín,2020-11-01,3,454,0.99,66625.75,207.74,1.00
18015,Alicún de Ortega,2020-11-01,0,42,1.00,4882.98,0.00,1.00
18016,Almegíjar,2020-11-01,0,72,1.00,3429.29,0.00,1.00
18017,Almuñécar,2020-11-01,5,845,0.99,122135.83,223.56,1.00
18018,Alquife,2020-11-01,0,135,1.00,12025.50,0.00,1.00
18020,Arenas del Rey,2020-11-01,0,55,1.00,6068.43,0.00,1.00
18021,Armilla,2020-11-01,14,504,0.97,53999.56,478.13,0.99
18022,Atarfe,2020-11-01,2,817,1.00,91558.57,94.35,1.00
18023,Baza,2020-11-01,7,901,0.99,107716.39,218.27,1.00
18024,Beas de Granada,2020-11-01,0,87,1.00,9279.46,0.00,1.00
18025,Beas de Guadix,2020-11-01,0,51,1.00,4068.98,0.00,1.00
18027,Benalúa,2020-11-01,0,279,1.00,25186.12,0.00,1.00
18028,Benalúa de las Villas,2020-11-01,0,69,1.00,7495.08,0.00,1.00
18029,Benamaurel,2020-11-01,0,228,1.00,43944.28,0.00,1.00
18030,Bérchules,2020-11-01,0,112,1.00,9070.40,0.00,1.00
18032,Bubión,2020-11-01,1,64,0.98,4454.22,33.23,0.99
18033,Busquístar,2020-11-01,1,59,0.98,3851.72,32.25,0.99
18034,Cacín,2020-11-01,0,90,1.00,8252.89,0.00,1.00
18035,Cádiar,2020-11-01,1,174,0.99,12334.78,34.48,1.00
18036,Cájar,2020-11-01,3,170,0.98,21464.88,151.66,0.99
18037,Calicasas,2020-11-01,0,36,1.00,2531.62,0.00,1.00
18038,Campotéjar,2020-11-01,0,76,1.00,10682.44,0.00,1.00
18039,Caniles,2020-11-01,2,352,0.99,46641.66,123.81,1.00
18040,Cáñar,2020-11-01,1,59,0.98,2799.41,40.68,0.99
18042,Capileira,2020-11-01,2,89,0.98,4684.95,77.33,0.98
18043,Carataunas,2020-11-01,0,21,1.00,2277.98,0.00,1.00
18044,Cástaras,2020-11-01,0,49,1.00,1716.53,0.00,1.00
18045,Castilléjar,2020-11-01,0,218,1.00,32534.54,0.00,1.00
18046,Castril,2020-11-01,0,290,1.00,31345.72,0.00,1.00
18047,Cenes de la Vega,2020-11-01,2,139,0.99,20338.95,53.88,1.00
18048,Cijuela,2020-11-01,2,82,0.98,14910.08,200.45,0.99
18049,Cogollos de Guadix,2020-11-01,1,90,0.99,10425.59,178.61,0.98
18050,Cogollos de la Vega,2020-11-01,0,129,1.00,11979.32,0.00,1.00
18051,Colomera,2020-11-01,0,113,1.00,11258.50,0.00,1.00
18053,Cortes de Baza,2020-11-01,2,310,0.99,40157.17,95.59,1.00
18054,Cortes y Graena,2020-11-01,0,135,1.00,13617.99,0.00,1.00
18056,Cúllar,2020-11-01,1,423,1.00,50942.48,31.01,1.00
18057,Cúllar Vega,2020-11-01,0,205,1.00,28003.95,0.00,1.00
18059,Chauchina,2020-11-01,2,240,0.99,28616.08,266.99,0.99
18061,Chimeneas,2020-11-01,0,139,1.00,15913.09,0.00,1.00
18062,Churriana de la Vega,2020-11-01,3,318,0.99,44802.68,267.71,0.99
18063,Darro,2020-11-01,0,167,1.00,16726.90,0.00,1.00
18064,Dehesas de Guadix,2020-11-01,0,55,1.00,5279.70,0.00,1.00
18065,Dehesas Viejas,2020-11-01,0,61,1.00,6751.88,0.00,1.00
18066,Deifontes,2020-11-01,0,138,1.00,20104.96,0.00,1.00
18067,Diezma,2020-11-01,0,93,1.00,6984.12,0.00,1.00
18068,Dílar,2020-11-01,1,170,0.99,25385.22,25.85,1.00
18069,Dólar,2020-11-01,1,117,0.99,9724.37,15.06,1.00
18070,Dúdar,2020-11-01,0,35,1.00,5242.39,0.00,1.00
18071,Dúrcal,2020-11-01,1,335,1.00,46002.85,19.05,1.00
18072,Escúzar,2020-11-01,1,132,0.99,30600.55,15.34,1.00
