id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
08189,Sant Pere Sallavinera,2020-11-01,0,22,1.00,1096.96,0.00,1.00
08190,Saldes,2020-11-01,0,35,1.00,3864.50,0.00,1.00
08191,Sallent,2020-11-01,12,250,0.95,31514.65,726.93,0.98
08192,Santpedor,2020-11-01,13,226,0.94,34657.33,503.41,0.99
08193,Sant Iscle de Vallalta,2020-11-01,4,48,0.92,11559.11,582.41,0.95
08194,Sant Adrià de Besòs,2020-11-01,1,281,1.00,31641.98,26.19,1.00
08195,Sant Agustí de Lluçanès,2020-11-01,0,9,1.00,1723.34,0.00,1.00
08196,Sant Andreu de la Barca,2020-11-01,23,325,0.93,46731.59,1307.12,0.97
08197,Sant Andreu de Llavaneres,2020-11-01,35,245,0.86,52332.39,3166.36,0.94
08198,Sant Antoni de Vilamajor,2020-11-01,17,179,0.91,35277.96,1140.79,0.97
08199,Sant Bartomeu del Grau,2020-11-01,0,21,1.00,3714.08,0.00,1.00
08200,Sant Boi de Llobregat,2020-11-01,35,981,0.96,125526.08,1664.86,0.99
08201,Sant Boi de Lluçanès,2020-11-01,15,58,0.74,6641.64,1313.13,0.80
08202,Sant Celoni,2020-11-01,39,424,0.91,64643.11,2649.38,0.96
08203,Sant Cebrià de Vallalta,2020-11-01,7,102,0.93,31062.63,655.01,0.98
08204,Sant Climent de Llobregat,2020-11-01,5,80,0.94,9961.64,89.37,0.99
08205,Sant Cugat del Vallès,2020-11-01,79,1659,0.95,281960.57,3262.19,0.99
08206,Sant Cugat Sesgarrigues,2020-11-01,4,55,0.93,9305.29,788.42,0.92
08207,Sant Esteve de Palautordera,2020-11-01,8,89,0.91,16504.38,470.22,0.97
08208,Sant Esteve Sesrovires,2020-11-01,6,255,0.98,57004.66,534.67,0.99
08209,Sant Fost de Campsentelles,2020-11-01,9,253,0.96,56425.71,892.19,0.98
08210,Sant Feliu de Codines,2020-11-01,20,217,0.91,26841.60,1343.68,0.95
08211,Sant Feliu de Llobregat,2020-11-01,4,282,0.99,39406.18,378.10,0.99
08212,Sant Feliu Sasserra,2020-11-01,1,31,0.97,3985.99,79.14,0.98
08213,Sant Fruitós de Bages,2020-11-01,25,384,0.93,63779.07,1231.88,0.98
08214,Vilassar de Dalt,2020-11-01,4,204,0.98,33429.50,321.85,0.99
08215,Sant Hipòlit de Voltregà,2020-11-01,4,79,0.95,11310.27,50.85,1.00
08216,Sant Jaume de Frontanyà,2020-11-01,2,9,0.78,805.41,102.42,0.87
08217,Sant Joan Despí,2020-11-01,9,300,0.97,39171.69,695.26,0.98
