id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
32053,Oímbra,2021-01-01,153,154,0.01,19061.49,19147.21,0.00
32054,Ourense,2021-01-01,964,1800,0.46,139598.54,260303.61,0.46
32055,Paderne de Allariz,2021-01-01,175,196,0.11,20681.01,23661.74,0.13
32056,Padrenda,2021-01-01,229,236,0.03,27396.70,28286.24,0.03
32057,Parada de Sil,2021-01-01,16,213,0.92,601.60,16560.21,0.96
32058,O Pereiro de Aguiar,2021-01-01,471,485,0.03,48719.55,50755.15,0.04
32059,A Peroxa,2021-01-01,237,237,0.00,33889.31,33889.31,0.00
32060,Petín,2021-01-01,2,96,0.98,86.28,13438.68,0.99
32061,Piñor,2021-01-01,185,185,0.00,17496.43,17496.43,0.00
32062,Porqueira,2021-01-01,151,157,0.04,18358.66,19767.64,0.07
32063,A Pobra de Trives,2021-01-01,9,315,0.97,607.87,33958.18,0.98
32064,Pontedeva,2021-01-01,48,48,0.00,6752.15,6752.15,0.00
32065,Punxín,2021-01-01,81,81,0.00,16091.80,16091.80,0.00
32066,Quintela de Leirado,2021-01-01,81,94,0.14,9434.56,10956.73,0.14
32067,Rairiz de Veiga,2021-01-01,177,177,0.00,22696.16,22696.16,0.00
32068,Ramirás,2021-01-01,218,218,0.00,31887.74,31887.74,0.00
32069,Ribadavia,2021-01-01,151,195,0.23,22987.51,27478.85,0.16
32070,San Xoán de Río,2021-01-01,0,201,1.00,0.00,16854.54,1.00
32071,Riós,2021-01-01,402,402,0.00,35052.12,35052.12,0.00
32072,A Rúa,2021-01-01,0,212,1.00,0.00,30136.22,1.00
32073,Rubiá,2021-01-01,21,179,0.88,3860.08,24152.87,0.84
32074,San Amaro,2021-01-01,127,132,0.04,11880.10,12341.17,0.04
32075,San Cibrao das Viñas,2021-01-01,211,247,0.15,31300.10,36926.83,0.15
32076,San Cristovo de Cea,2021-01-01,380,384,0.01,41417.69,41794.16,0.01
32077,Sandiás,2021-01-01,117,132,0.11,13587.28,15674.51,0.13
32078,Sarreaus,2021-01-01,127,127,0.00,20519.20,20519.20,0.00
32079,Taboadela,2021-01-01,9,73,0.88,1679.44,10095.18,0.83
32080,A Teixeira,2021-01-01,1,63,0.98,37.83,8430.96,1.00
32081,Toén,2021-01-01,189,189,0.00,34579.26,34579.26,0.00
32082,Trasmiras,2021-01-01,141,147,0.04,20135.89,21395.77,0.06
32083,A Veiga,2021-01-01,54,266,0.80,6688.96,43192.81,0.85
32084,Verea,2021-01-01,183,183,0.00,27194.53,27194.53,0.00
32085,Verín,2021-01-01,320,430,0.26,47955.18,71838.94,0.33
32086,Viana do Bolo,2021-01-01,48,494,0.90,5701.29,62697.83,0.91
32087,Vilamarín,2021-01-01,123,124,0.01,24694.82,25014.85,0.01
32088,Vilamartín de Valdeorras,2021-01-01,17,157,0.89,1716.09,19399.03,0.91
32089,Vilar de Barrio,2021-01-01,133,185,0.28,15766.87,22759.26,0.31
32090,Vilar de Santos,2021-01-01,90,93,0.03,13350.38,14274.09,0.06
32091,Vilardevós,2021-01-01,268,297,0.10,34094.75,37644.76,0.09
32092,Vilariño de Conso,2021-01-01,0,127,1.00,0.00,15983.04,1.00
36001,Arbo,2021-01-01,372,406,0.08,57709.11,66395.04,0.13
36002,Barro,2021-01-01,101,102,0.01,29670.26,29774.11,0.00
36003,Baiona,2021-01-01,134,391,0.66,19877.60,59916.12,0.67
36004,Bueu,2021-01-01,230,290,0.21,55112.87,68631.92,0.20
36005,Caldas de Reis,2021-01-01,177,226,0.22,41026.73,48745.05,0.16
36006,Cambados,2021-01-01,268,401,0.33,62736.03,81908.87,0.23
36007,Campo Lameiro,2021-01-01,173,173,0.00,28348.70,28348.70,0.00
36008,Cangas,2021-01-01,329,595,0.45,64117.57,114698.82,0.44
36009,A Cañiza,2021-01-01,405,547,0.26,51919.61,79698.41,0.35
36010,Catoira,2021-01-01,88,88,0.00,20579.92,20579.92,0.00
36013,Covelo,2021-01-01,482,509,0.05,76830.50,81684.18,0.06
36014,Crecente,2021-01-01,232,341,0.32,39406.18,61730.71,0.36
36015,Cuntis,2021-01-01,81,92,0.12,24768.64,25767.42,0.04
36016,Dozón,2021-01-01,101,101,0.00,16403.45,16403.45,0.00
36017,A Estrada,2021-01-01,132,225,0.41,20465.65,39003.31,0.48
36018,Forcarei,2021-01-01,304,325,0.06,37250.73,40060.00,0.07
36019,Fornelos de Montes,2021-01-01,161,198,0.19,22411.22,28717.92,0.22
36020,Agolada,2021-01-01,320,336,0.05,37782.80,39176.47,0.04
36021,Gondomar,2021-01-01,311,336,0.07,56558.32,60505.40,0.07
36022,O Grove,2021-01-01,236,344,0.31,34686.25,51954.67,0.33
36023,A Guarda,2021-01-01,160,370,0.57,19048.33,52901.95,0.64
36024,Lalín,2021-01-01,661,833,0.21,96888.89,120378.26,0.20
36025,A Lama,2021-01-01,197,229,0.14,28735.40,35662.79,0.19
36026,Marín,2021-01-01,295,368,0.20,79312.70,89566.50,0.11
36027,Meaño,2021-01-01,150,150,0.00,37002.42,37002.42,0.00
36028,Meis,2021-01-01,245,251,0.02,57528.09,58339.43,0.01
36029,Moaña,2021-01-01,293,354,0.17,76911.30,88444.91,0.13
36030,Mondariz,2021-01-01,541,562,0.04,85969.90,89766.14,0.04
36031,Mondariz-Balneario,2021-01-01,26,34,0.24,3986.80,6109.66,0.35
36032,Moraña,2021-01-01,179,196,0.09,35747.59,38007.41,0.06
36033,Mos,2021-01-01,90,363,0.75,7281.31,52243.04,0.86
36034,As Neves,2021-01-01,406,444,0.09,68882.21,78375.46,0.12
36035,Nigrán,2021-01-01,197,303,0.35,43796.42,70643.10,0.38
36036,Oia,2021-01-01,237,243,0.02,42252.81,44400.74,0.05
36037,Pazos de Borbén,2021-01-01,135,168,0.20,25538.22,32386.47,0.21
36038,Pontevedra,2021-01-01,802,1491,0.46,166435.09,256525.10,0.35
36039,O Porriño,2021-01-01,355,509,0.30,56217.53,83062.54,0.32
36040,Portas,2021-01-01,57,57,0.00,19487.55,19487.55,0.00
36041,Poio,2021-01-01,243,578,0.58,27413.54,104948.72,0.74
36042,Ponteareas,2021-01-01,1061,1208,0.12,135473.63,155508.53,0.13
36043,Ponte Caldelas,2021-01-01,127,238,0.47,22398.86,38597.62,0.42
36044,Pontecesures,2021-01-01,64,108,0.41,13841.59,19429.92,0.29
36045,Redondela,2021-01-01,612,808,0.24,105944.45,145394.13,0.27
36046,Ribadumia,2021-01-01,214,230,0.07,54869.47,59050.03,0.07
36047,Rodeiro,2021-01-01,305,313,0.03,43551.42,44853.43,0.03
36048,O Rosal,2021-01-01,98,479,0.80,6500.60,80012.16,0.92
36049,Salceda de Caselas,2021-01-01,182,207,0.12,30023.34,33663.18,0.11
36050,Salvaterra de Miño,2021-01-01,554,645,0.14,75025.13,91601.71,0.18
36051,Sanxenxo,2021-01-01,410,479,0.14,82478.00,90517.37,0.09
36052,Silleda,2021-01-01,422,464,0.09,73898.71,81230.38,0.09
36053,Soutomaior,2021-01-01,87,126,0.31,19246.30,26845.17,0.28
36054,Tomiño,2021-01-01,557,626,0.11,131245.55,141280.06,0.07
36055,Tui,2021-01-01,403,585,0.31,74612.55,101517.51,0.27
36056,Valga,2021-01-01,144,148,0.03,29597.20,32890.75,0.10
36057,Vigo,2021-01-01,1138,3615,0.69,123217.47,569803.69,0.78
36058,Vilaboa,2021-01-01,141,141,0.00,45044.80,45044.80,0.00
36059,Vila de Cruces,2021-01-01,376,401,0.06,58260.41,61331.47,0.05
36060,Vilagarcía de Arousa,2021-01-01,75,624,0.88,22287.68,118512.84,0.81
36061,Vilanova de Arousa,2021-01-01,189,343,0.45,47799.19,65899.31,0.27
36901,A Illa de Arousa,2021-01-01,30,115,0.74,2866.22,16412.57,0.83
36902,Cerdedo-Cotobade,2021-01-01,572,587,0.03,80913.07,83320.13,0.03
