id,name,date,incomplete,total,percentage
08230,Premià de Dalt,2021-01-31,4,579,0.99
08231,Sant Pere de Ribes,2021-01-31,27,2030,0.99
08232,Sant Pere de Riudebitlles,2021-01-31,0,193,1.00
08233,Sant Pere de Torelló,2021-01-31,7,632,0.99
08234,Sant Pere de Vilamajor,2021-01-31,17,530,0.97
08235,Sant Pol de Mar,2021-01-31,3,519,0.99
08236,Sant Quintí de Mediona,2021-01-31,0,232,1.00
08237,Sant Quirze de Besora,2021-01-31,1,239,1.00
08238,Sant Quirze del Vallès,2021-01-31,54,1634,0.97
08239,Sant Quirze Safaja,2021-01-31,14,341,0.96
08240,Sant Sadurní d'Anoia,2021-01-31,18,897,0.98
08241,Sant Sadurní d'Osormort,2021-01-31,0,138,1.00
08242,Marganell,2021-01-31,0,284,1.00
08243,Santa Cecília de Voltregà,2021-01-31,0,106,1.00
08244,Santa Coloma de Cervelló,2021-01-31,9,758,0.99
08245,Santa Coloma de Gramenet,2021-01-31,0,1506,1.00
08246,Santa Eugènia de Berga,2021-01-31,5,227,0.98
08247,Santa Eulàlia de Riuprimer,2021-01-31,2,166,0.99
08248,Santa Eulàlia de Ronçana,2021-01-31,17,489,0.97
08249,Santa Fe del Penedès,2021-01-31,0,75,1.00
08250,Santa Margarida de Montbui,2021-01-31,4,590,0.99
08251,Santa Margarida i els Monjos,2021-01-31,19,646,0.97
08252,Barberà del Vallès,2021-01-31,40,1051,0.96
08253,Santa Maria de Besora,2021-01-31,0,199,1.00
08254,l'Esquirol,2021-01-31,1,774,1.00
08255,Santa Maria de Merlès,2021-01-31,0,503,1.00
08256,Santa Maria de Martorelles,2021-01-31,9,116,0.92
08257,Santa Maria de Miralles,2021-01-31,0,149,1.00
08258,Santa Maria d'Oló,2021-01-31,0,480,1.00
08259,Santa Maria de Palautordera,2021-01-31,49,919,0.95
08260,Santa Perpètua de Mogoda,2021-01-31,16,1442,0.99
08261,Santa Susanna,2021-01-31,10,617,0.98
08262,Sant Vicenç de Castellet,2021-01-31,2,715,1.00
08263,Sant Vicenç dels Horts,2021-01-31,13,2251,0.99
08264,Sant Vicenç de Montalt,2021-01-31,20,540,0.96
08265,Sant Vicenç de Torelló,2021-01-31,3,372,0.99
08266,Cerdanyola del Vallès,2021-01-31,48,4074,0.99
08267,Sentmenat,2021-01-31,17,619,0.97
08268,Cercs,2021-01-31,8,880,0.99
08269,Seva,2021-01-31,23,666,0.97
08270,Sitges,2021-01-31,37,2349,0.98
08271,Sobremunt,2021-01-31,0,166,1.00
08272,Sora,2021-01-31,0,220,1.00
08273,Subirats,2021-01-31,3,1132,1.00
08274,Súria,2021-01-31,14,730,0.98
08275,Tavèrnoles,2021-01-31,0,269,1.00
08276,Tagamanent,2021-01-31,6,536,0.99
082779,Talamanca,2021-01-31,0,595,1.00
08278,Taradell,2021-01-31,5,612,0.99
08279,Terrassa,2021-01-31,105,9446,0.99
08280,Tavertet,2021-01-31,0,251,1.00
08281,Teià,2021-01-31,9,366,0.98
08282,Tiana,2021-01-31,4,465,0.99
08283,Tona,2021-01-31,30,751,0.96
08284,Tordera,2021-01-31,8,1452,0.99
08285,Torelló,2021-01-31,11,585,0.98
08286,la Torre de Claramunt,2021-01-31,0,376,1.00
08287,Torrelavit,2021-01-31,1,452,1.00
08288,Torrelles de Foix,2021-01-31,0,595,1.00
08289,Torrelles de Llobregat,2021-01-31,6,464,0.99
08290,Ullastrell,2021-01-31,3,200,0.99
08291,Vacarisses,2021-01-31,4,1594,1.00
08292,Vallbona d'Anoia,2021-01-31,1,223,1.00
08293,Vallcebre,2021-01-31,0,337,1.00
08294,Vallgorguina,2021-01-31,22,581,0.96
08295,Vallirana,2021-01-31,28,803,0.97
08296,Vallromanes,2021-01-31,36,350,0.90
08297,Veciana,2021-01-31,0,348,1.00
08298,Vic,2021-01-31,60,3365,0.98
08299,Vilada,2021-01-31,1,779,1.00
08300,Viladecavalls,2021-01-31,11,905,0.99
08301,Viladecans,2021-01-31,86,1961,0.96
08302,Vilanova del Camí,2021-01-31,1,548,1.00
08303,Vilanova de Sau,2021-01-31,0,364,1.00
08304,Vilobí del Penedès,2021-01-31,2,227,0.99
08305,Vilafranca del Penedès,2021-01-31,24,1461,0.98
08306,Vilalba Sasserra,2021-01-31,3,112,0.97
08307,Vilanova i la Geltrú,2021-01-31,26,7787,1.00
08308,Viver i Serrateix,2021-01-31,0,435,1.00
08700,Igualada,2021-01-31,29,962,0.97
08901,Rupit i Pruit,2021-01-31,10,410,0.98
08902,Vilanova del Vallès,2021-01-31,28,558,0.95
08903,Sant Julià de Cerdanyola,2021-01-31,0,183,1.00
08904,Badia del Vallès,2021-01-31,1,198,0.99
08905,la Palma de Cervelló,2021-01-31,0,602,1.00
17001,Agullana,2021-01-31,1,347,1.00
17002,Aiguaviva,2021-01-31,7,437,0.98
17003,Albanyà,2021-01-31,2,448,1.00
17004,Albons,2021-01-31,0,205,1.00
17005,el Far d'Empordà,2021-01-31,0,199,1.00
17006,Alp,2021-01-31,9,1005,0.99
17007,Amer,2021-01-31,5,543,0.99
17008,Anglès,2021-01-31,14,695,0.98
17009,Arbúcies,2021-01-31,2,824,1.00
17010,Argelaguer,2021-01-31,5,241,0.98
17011,l'Armentera,2021-01-31,0,179,1.00
17012,Avinyonet de Puigventós,2021-01-31,0,279,1.00
17013,Begur,2021-01-31,23,1147,0.98
17014,la Vajol,2021-01-31,0,104,1.00
17015,Banyoles,2021-01-31,27,1997,0.99
17016,Bàscara,2021-01-31,0,518,1.00
17018,Bellcaire d'Empordà,2021-01-31,0,141,1.00
17019,Besalú,2021-01-31,31,434,0.93
17020,Bescanó,2021-01-31,8,1406,0.99
17021,Beuda,2021-01-31,0,267,1.00
17022,la Bisbal d'Empordà,2021-01-31,7,543,0.99
17023,Blanes,2021-01-31,28,1657,0.98
17024,Bolvir,2021-01-31,2,221,0.99
17025,Bordils,2021-01-31,11,169,0.93
17026,Borrassà,2021-01-31,0,334,1.00
17027,Breda,2021-01-31,1,248,1.00
17028,Brunyola i Sant Martí Sapresa,2021-01-31,3,631,1.00
17029,Boadella i les Escaules,2021-01-31,0,183,1.00
17030,Cabanes,2021-01-31,0,134,1.00
17031,Cabanelles,2021-01-31,0,329,1.00
17032,Cadaqués,2021-01-31,32,929,0.97
17033,Caldes de Malavella,2021-01-31,16,1190,0.99
17034,Calonge i Sant Antoni,2021-01-31,24,1892,0.99
17035,Camós,2021-01-31,12,510,0.98
17036,Campdevànol,2021-01-31,3,535,0.99
17037,Campelles,2021-01-31,0,123,1.00
17038,Campllong,2021-01-31,1,144,0.99
17039,Camprodon,2021-01-31,15,847,0.98
17040,Canet d'Adri,2021-01-31,0,491,1.00
17041,Cantallops,2021-01-31,0,150,1.00
17042,Capmany,2021-01-31,0,324,1.00
17043,Queralbs,2021-01-31,0,540,1.00
17044,Cassà de la Selva,2021-01-31,2,631,1.00
17046,Castellfollit de la Roca,2021-01-31,7,65,0.89
17047,Castelló d'Empúries,2021-01-31,4,1438,1.00
17048,Castell-Platja d'Aro,2021-01-31,14,1645,0.99
17049,Celrà,2021-01-31,13,758,0.98
17050,Cervià de Ter,2021-01-31,0,240,1.00
17051,Cistella,2021-01-31,1,170,0.99
17052,Siurana,2021-01-31,0,135,1.00
17054,Colera,2021-01-31,1,363,1.00
17055,Colomers,2021-01-31,1,128,0.99
17056,Cornellà del Terri,2021-01-31,20,1123,0.98
17057,Corçà,2021-01-31,0,298,1.00
17058,Crespià,2021-01-31,1,177,0.99
17060,Darnius,2021-01-31,3,828,1.00
17061,Das,2021-01-31,0,157,1.00
17062,l'Escala,2021-01-31,29,1816,0.98
17063,Espinelves,2021-01-31,0,133,1.00
17064,Espolla,2021-01-31,0,253,1.00
17065,Esponellà,2021-01-31,6,219,0.97
17066,Figueres,2021-01-31,16,2137,0.99
17067,Flaçà,2021-01-31,2,152,0.99
17068,Foixà,2021-01-31,0,174,1.00
17069,Fontanals de Cerdanya,2021-01-31,2,376,0.99
17070,Fontanilles,2021-01-31,0,120,1.00
17071,Fontcoberta,2021-01-31,18,399,0.95
17073,Fornells de la Selva,2021-01-31,3,477,0.99
17074,Fortià,2021-01-31,0,136,1.00
17075,Garrigàs,2021-01-31,0,305,1.00
17076,Garrigoles,2021-01-31,0,163,1.00
17077,Garriguella,2021-01-31,3,354,0.99
17078,Ger,2021-01-31,3,251,0.99
17079,Girona,2021-01-31,60,6576,0.99
17080,Gombrèn,2021-01-31,0,306,1.00
17081,Gualta,2021-01-31,0,241,1.00
17082,Guils de Cerdanya,2021-01-31,0,241,1.00
17083,Hostalric,2021-01-31,8,276,0.97
17084,Isòvol,2021-01-31,9,181,0.95
17085,Jafre,2021-01-31,2,118,0.98
17086,la Jonquera,2021-01-31,9,988,0.99
17087,Juià,2021-01-31,0,110,1.00
17088,Lladó,2021-01-31,1,232,1.00
17089,Llagostera,2021-01-31,2,930,1.00
17090,Llambilles,2021-01-31,0,213,1.00
17091,Llanars,2021-01-31,0,164,1.00
17092,Llançà,2021-01-31,3,877,1.00
17093,Llers,2021-01-31,2,352,0.99
17095,Lloret de Mar,2021-01-31,27,1925,0.99
17096,les Llosses,2021-01-31,0,809,1.00
17097,Madremanya,2021-01-31,6,116,0.95
17098,Maià de Montcal,2021-01-31,0,196,1.00
17099,Meranges,2021-01-31,0,192,1.00
17100,Masarac,2021-01-31,3,234,0.99
17101,Massanes,2021-01-31,1,270,1.00
17102,Maçanet de Cabrenys,2021-01-31,4,605,0.99
17103,Maçanet de la Selva,2021-01-31,9,813,0.99
17105,Mieres,2021-01-31,1,281,1.00
17106,Mollet de Peralada,2021-01-31,0,109,1.00
17107,Molló,2021-01-31,0,387,1.00
17109,Montagut i Oix,2021-01-31,5,689,0.99
17110,Mont-ras,2021-01-31,4,524,0.99
17111,Navata,2021-01-31,0,317,1.00
17112,Ogassa,2021-01-31,0,220,1.00
17114,Olot,2021-01-31,30,1956,0.98
17115,Ordis,2021-01-31,4,147,0.97
17116,Osor,2021-01-31,4,465,0.99
17117,Palafrugell,2021-01-31,38,2454,0.98
17118,Palamós,2021-01-31,4,1348,1.00
17119,Palau de Santa Eulàlia,2021-01-31,0,146,1.00
17120,Palau-saverdera,2021-01-31,4,344,0.99
17121,Palau-sator,2021-01-31,0,292,1.00
17123,Palol de Revardit,2021-01-31,4,552,0.99
17124,Pals,2021-01-31,26,964,0.97
17125,Pardines,2021-01-31,0,188,1.00
17126,Parlavà,2021-01-31,0,141,1.00
17128,Pau,2021-01-31,0,172,1.00
17129,Pedret i Marzà,2021-01-31,0,157,1.00
17130,la Pera,2021-01-31,1,152,0.99
17132,Peralada,2021-01-31,1,673,1.00
17133,les Planes d'Hostoles,2021-01-31,0,504,1.00
17134,Planoles,2021-01-31,0,203,1.00
17135,Pont de Molins,2021-01-31,1,214,1.00
17136,Pontós,2021-01-31,0,268,1.00
17137,Porqueres,2021-01-31,10,1281,0.99
17138,Portbou,2021-01-31,0,313,1.00
17139,les Preses,2021-01-31,0,253,1.00
17140,el Port de la Selva,2021-01-31,0,727,1.00
17141,Puigcerdà,2021-01-31,10,932,0.99
17142,Quart,2021-01-31,7,838,0.99
17143,Rabós,2021-01-31,0,223,1.00
17144,Regencós,2021-01-31,3,108,0.97
17145,Ribes de Freser,2021-01-31,4,544,0.99
17146,Riells i Viabrea,2021-01-31,0,614,1.00
17147,Ripoll,2021-01-31,6,1296,1.00
17148,Riudarenes,2021-01-31,0,474,1.00
17149,Riudaura,2021-01-31,0,91,1.00
17150,Riudellots de la Selva,2021-01-31,2,491,1.00
17151,Riumors,2021-01-31,0,55,1.00
17152,Roses,2021-01-31,22,1926,0.99
17153,Rupià,2021-01-31,0,79,1.00
17154,Sales de Llierca,2021-01-31,0,319,1.00
17155,Salt,2021-01-31,9,626,0.99
17157,Sant Andreu Salou,2021-01-31,0,99,1.00
17158,Sant Climent Sescebes,2021-01-31,0,295,1.00
17159,Sant Feliu de Buixalleu,2021-01-31,2,609,1.00
17160,Sant Feliu de Guíxols,2021-01-31,24,1847,0.99
17161,Sant Feliu de Pallerols,2021-01-31,7,573,0.99
17162,Sant Ferriol,2021-01-31,3,366,0.99
17163,Sant Gregori,2021-01-31,0,1207,1.00
17164,Sant Hilari Sacalm,2021-01-31,4,787,0.99
17165,Sant Jaume de Llierca,2021-01-31,0,179,1.00
17166,Sant Jordi Desvalls,2021-01-31,0,213,1.00
17167,Sant Joan de les Abadesses,2021-01-31,4,590,0.99
17168,Sant Joan de Mollet,2021-01-31,0,94,1.00
17169,Sant Julià de Ramis,2021-01-31,1,582,1.00
17170,Vallfogona de Ripollès,2021-01-31,1,334,1.00
17171,Sant Llorenç de la Muga,2021-01-31,0,157,1.00
17172,Sant Martí de Llémena,2021-01-31,1,578,1.00
17173,Sant Martí Vell,2021-01-31,9,190,0.95
17174,Sant Miquel de Campmajor,2021-01-31,0,470,1.00
17175,Sant Miquel de Fluvià,2021-01-31,2,140,0.99
17176,Sant Mori,2021-01-31,0,217,1.00
17177,Sant Pau de Segúries,2021-01-31,0,123,1.00
17178,Sant Pere Pescador,2021-01-31,6,890,0.99
17180,Santa Coloma de Farners,2021-01-31,10,1308,0.99
17181,Santa Cristina d'Aro,2021-01-31,4,1488,1.00
17182,Santa Llogaia d'Àlguema,2021-01-31,7,121,0.94
17183,Sant Aniol de Finestres,2021-01-31,2,492,1.00
17184,Santa Pau,2021-01-31,18,803,0.98
17185,Sant Joan les Fonts,2021-01-31,10,462,0.98
17186,Sarrià de Ter,2021-01-31,7,494,0.99
17187,"Saus, Camallera i Llampaies",2021-01-31,2,421,1.00
