id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
46047,Bèlgida,2021-02-03,1,62,0.98,5077.52,48.23,0.99
46048,Bellreguard,2021-02-03,12,155,0.92,23249.73,641.26,0.97
46049,Bellús,2021-02-03,0,26,1.00,2538.99,0.00,1.00
46050,Benagéber,2021-02-03,2,20,0.90,2519.99,337.67,0.87
46051,Benaguasil,2021-02-03,50,329,0.85,53259.94,3291.53,0.94
46052,Benavites,2021-02-03,0,31,1.00,3103.90,0.00,1.00
46053,Beneixida,2021-02-03,6,39,0.85,7445.80,1249.89,0.83
46054,Benetússer,2021-02-03,11,97,0.89,15467.91,589.04,0.96
46055,Beniarjó,2021-02-03,0,59,1.00,7791.10,0.00,1.00
46056,Beniatjar,2021-02-03,1,18,0.94,1459.03,67.06,0.95
46057,Benicolet,2021-02-03,1,31,0.97,2623.73,17.62,0.99
46058,Benifairó de les Valls,2021-02-03,1,28,0.96,6002.91,140.43,0.98
46059,Benifairó de la Valldigna,2021-02-03,0,47,1.00,6921.10,0.00,1.00
46060,Benifaió,2021-02-03,15,199,0.92,33327.78,1259.44,0.96
46061,Beniflá,2021-02-03,0,17,1.00,2864.93,0.00,1.00
46062,Benigànim,2021-02-03,10,135,0.93,19395.95,678.54,0.97
46063,Benimodo,2021-02-03,10,53,0.81,10149.92,853.99,0.92
46064,Benimuslem,2021-02-03,7,56,0.88,4921.71,492.99,0.90
46065,Beniparrell,2021-02-03,3,99,0.97,17283.60,263.70,0.98
46066,Benirredrà,2021-02-03,3,35,0.91,4283.38,129.25,0.97
46067,Benissanó,2021-02-03,24,85,0.72,10914.99,2731.49,0.75
46068,Benissoda,2021-02-03,2,28,0.93,2133.45,134.03,0.94
46069,Benissuera,2021-02-03,2,16,0.88,1537.60,93.48,0.94
46070,Bétera,2021-02-03,56,632,0.91,117882.11,4683.06,0.96
46071,Bicorp,2021-02-03,2,28,0.93,2813.21,91.98,0.97
46072,Bocairent,2021-02-03,56,165,0.66,14202.07,2826.99,0.80
46073,Bolbaite,2021-02-03,14,76,0.82,6594.83,893.37,0.86
46074,Bonrepòs i Mirambell,2021-02-03,28,81,0.65,9484.23,1593.86,0.83
46075,Bufali,2021-02-03,0,12,1.00,1980.95,0.00,1.00
46076,Bugarra,2021-02-03,0,42,1.00,4767.56,0.00,1.00
46077,Buñol,2021-02-03,29,175,0.83,22368.22,3448.97,0.85
46078,Burjassot,2021-02-03,74,342,0.78,43674.60,5009.43,0.89
46079,Calles,2021-02-03,0,53,1.00,6934.91,0.00,1.00
46080,Camporrobles,2021-02-03,21,122,0.83,15573.56,1694.82,0.89
