id,ES-TE,ES-AR,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
44151,ES-TE,ES-AR,Molinos,2021-02-13,19,51,0.63,608.26,4246.15,0.86
44152,ES-TE,ES-AR,Monforte de Moyuela,2021-02-13,6,29,0.79,275.89,1952.27,0.86
44153,ES-TE,ES-AR,Monreal del Campo,2021-02-13,31,155,0.80,4805.66,21871.67,0.78
44154,ES-TE,ES-AR,Monroyo / Montroig,2021-02-13,10,31,0.68,1212.08,3764.62,0.68
44155,ES-TE,ES-AR,Montalbán,2021-02-13,29,88,0.67,4329.27,10154.55,0.57
44156,ES-TE,ES-AR,Monteagudo del Castillo,2021-02-13,8,24,0.67,1334.46,3532.17,0.62
44157,ES-TE,ES-AR,Monterde de Albarracín,2021-02-13,2,15,0.87,173.69,2102.26,0.92
44158,ES-TE,ES-AR,Mora de Rubielos,2021-02-13,36,75,0.52,3861.96,10179.12,0.62
44159,ES-TE,ES-AR,Moscardón,2021-02-13,6,19,0.68,127.93,1285.29,0.90
44160,ES-TE,ES-AR,Mosqueruela,2021-02-13,12,62,0.81,1572.16,6977.00,0.77
44161,ES-TE,ES-AR,Muniesa,2021-02-13,19,78,0.76,1863.02,9666.66,0.81
44163,ES-TE,ES-AR,Noguera de Albarracín,2021-02-13,7,19,0.63,404.32,2530.26,0.84
44164,ES-TE,ES-AR,Nogueras,2021-02-13,4,16,0.75,118.72,1292.50,0.91
44165,ES-TE,ES-AR,Nogueruelas,2021-02-13,30,51,0.41,1487.20,3893.16,0.62
44167,ES-TE,ES-AR,Obón,2021-02-13,12,25,0.52,1189.32,2798.12,0.57
44168,ES-TE,ES-AR,Odón,2021-02-13,6,29,0.79,388.57,2909.54,0.87
44169,ES-TE,ES-AR,Ojos Negros,2021-02-13,14,62,0.77,1086.98,5911.98,0.82
44171,ES-TE,ES-AR,Olba,2021-02-13,7,35,0.80,1555.14,4509.52,0.66
44172,ES-TE,ES-AR,Oliete,2021-02-13,19,42,0.55,1551.23,4362.07,0.64
44173,ES-TE,ES-AR,Los Olmos,2021-02-13,12,25,0.52,1033.28,2377.40,0.57
44174,ES-TE,ES-AR,Orihuela del Tremedal,2021-02-13,14,76,0.82,2016.18,11002.23,0.82
44175,ES-TE,ES-AR,Orrios,2021-02-13,8,22,0.64,472.98,2197.91,0.78
44176,ES-TE,ES-AR,Palomar de Arroyos,2021-02-13,6,25,0.76,650.44,2662.98,0.76
44177,ES-TE,ES-AR,Pancrudo,2021-02-13,15,28,0.46,3137.27,4512.13,0.30
44178,ES-TE,ES-AR,Las Parras de Castellote,2021-02-13,4,14,0.71,1393.11,2589.48,0.46
44179,ES-TE,ES-AR,Peñarroya de Tastavíns / Pena-roja de Tastavins,2021-02-13,2,36,0.94,311.48,4015.96,0.92
44180,ES-TE,ES-AR,Peracense,2021-02-13,9,16,0.44,865.35,1644.31,0.47
44181,ES-TE,ES-AR,Peralejos,2021-02-13,3,16,0.81,438.28,1606.99,0.73
44182,ES-TE,ES-AR,Perales del Alfambra,2021-02-13,16,48,0.67,953.62,4882.97,0.80
44183,ES-TE,ES-AR,Pitarque,2021-02-13,2,17,0.88,87.74,1600.15,0.95
44184,ES-TE,ES-AR,Plou,2021-02-13,1,11,0.91,39.11,881.52,0.96
44185,ES-TE,ES-AR,El Pobo,2021-02-13,12,30,0.60,1068.58,3358.77,0.68
44187,ES-TE,ES-AR,La Portellada,2021-02-13,4,24,0.83,492.50,2435.57,0.80
44189,ES-TE,ES-AR,Pozondón,2021-02-13,5,19,0.74,217.73,1323.69,0.84
44190,ES-TE,ES-AR,Pozuel del Campo,2021-02-13,8,34,0.76,666.51,2600.63,0.74
44191,ES-TE,ES-AR,La Puebla de Híjar,2021-02-13,15,52,0.71,1517.86,6884.95,0.78
44192,ES-TE,ES-AR,La Puebla de Valverde,2021-02-13,11,53,0.79,816.65,5561.85,0.85
44193,ES-TE,ES-AR,Puertomingalvo,2021-02-13,17,36,0.53,1578.38,3057.58,0.48
44194,ES-TE,ES-AR,Ráfales / Ràfels,2021-02-13,7,34,0.79,981.84,2856.46,0.66
44195,ES-TE,ES-AR,Rillo,2021-02-13,5,23,0.78,441.56,1917.17,0.77
44196,ES-TE,ES-AR,Riodeva,2021-02-13,8,27,0.70,273.49,2802.53,0.90
44197,ES-TE,ES-AR,Ródenas,2021-02-13,8,27,0.70,464.11,2081.12,0.78
44198,ES-TE,ES-AR,Royuela,2021-02-13,11,32,0.66,660.67,3175.60,0.79
