id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
14043,Montoro,2020-01-01,43,225,0.81,7077.20,31871.70,0.78
14044,Monturque,2020-01-01,3,47,0.94,616.74,7393.85,0.92
14045,Moriles,2020-01-01,5,72,0.93,691.55,13100.14,0.95
14046,Nueva Carteya,2020-01-01,22,121,0.82,3279.41,18985.26,0.83
14047,Obejo,2020-01-01,19,79,0.76,896.37,9966.58,0.91
14048,Palenciana,2020-01-01,2,49,0.96,604.99,6990.44,0.91
14049,Palma del Río,2020-01-01,41,429,0.90,5754.82,59551.61,0.90
14050,Pedro Abad,2020-01-01,7,101,0.93,790.92,14590.43,0.95
14051,Pedroche,2020-01-01,9,87,0.90,1554.77,13657.83,0.89
14052,Peñarroya-Pueblonuevo,2020-01-01,141,339,0.58,16950.99,58466.75,0.71
14053,Posadas,2020-01-01,40,236,0.83,8228.43,32025.28,0.74
14054,Pozoblanco,2020-01-01,47,312,0.85,8607.02,53067.67,0.84
14055,Priego de Córdoba,2020-01-01,136,643,0.79,14041.46,74390.18,0.81
14056,Puente Genil,2020-01-01,126,429,0.71,27924.43,81902.82,0.66
14057,La Rambla,2020-01-01,23,175,0.87,1806.31,27530.73,0.93
14058,Rute,2020-01-01,69,113,0.39,10777.44,20476.50,0.47
14059,San Sebastián de los Ballesteros,2020-01-01,5,49,0.90,2301.51,7893.96,0.71
14060,Santaella,2020-01-01,60,212,0.72,8910.86,32387.77,0.72
14061,Santa Eufemia,2020-01-01,4,43,0.91,402.07,6926.95,0.94
14062,Torrecampo,2020-01-01,10,68,0.85,1713.75,10332.13,0.83
14063,Valenzuela,2020-01-01,4,49,0.92,332.73,6457.06,0.95
14064,Valsequillo,2020-01-01,3,32,0.91,176.07,4605.26,0.96
14065,La Victoria,2020-01-01,12,102,0.88,1113.37,14435.79,0.92
14066,Villa del Río,2020-01-01,20,172,0.88,2396.44,22201.71,0.89
14067,Villafranca de Córdoba,2020-01-01,28,112,0.75,5301.11,19688.99,0.73
14068,Villaharta,2020-01-01,11,39,0.72,3471.72,7411.71,0.53
14069,Villanueva de Córdoba,2020-01-01,15,261,0.94,1350.23,37919.78,0.96
14070,Villanueva del Duque,2020-01-01,11,65,0.83,2151.83,10606.71,0.80
14071,Villanueva del Rey,2020-01-01,3,48,0.94,148.69,7023.39,0.98
14072,Villaralto,2020-01-01,1,48,0.98,55.43,7671.19,0.99
14073,Villaviciosa de Córdoba,2020-01-01,13,112,0.88,4669.55,19077.24,0.76
14074,El Viso,2020-01-01,12,104,0.88,1006.97,16981.84,0.94
14075,Zuheros,2020-01-01,7,34,0.79,503.30,3388.48,0.85
18001,Agrón,2020-01-01,0,45,1.00,0.00,3972.85,1.00
18002,Alamedilla,2020-01-01,0,83,1.00,0.00,7021.00,1.00
18003,Albolote,2020-01-01,19,647,0.97,903.89,92628.41,0.99
18004,Albondón,2020-01-01,0,129,1.00,0.00,8359.78,1.00
18005,Albuñán,2020-01-01,0,76,1.00,0.00,9409.01,1.00
