id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
31130,Iturmendi,2020-01-01,2,43,0.95,4007.54,899.57,0.78
31131,Iza,2020-01-01,23,142,0.84,18545.75,893.50,0.95
31132,Izagaondoa,2020-01-01,0,41,1.00,4925.32,0.00,1.00
31133,Izalzu/Itzaltzu,2020-01-01,0,7,1.00,431.90,0.00,1.00
31134,Jaurrieta,2020-01-01,3,25,0.88,2357.71,176.20,0.93
31135,Javier,2020-01-01,0,8,1.00,971.92,0.00,1.00
31136,Juslapeña,2020-01-01,7,71,0.90,7754.54,217.41,0.97
31137,Beintza-Labaien,2020-01-01,2,42,0.95,4692.58,990.01,0.79
31138,Lakuntza,2020-01-01,0,35,1.00,5589.31,0.00,1.00
31139,Lana,2020-01-01,3,61,0.95,5667.56,110.35,0.98
31140,Lantz,2020-01-01,1,10,0.90,1556.45,24.11,0.98
31141,Lapoblación,2020-01-01,2,37,0.95,4807.98,123.91,0.97
31142,Larraga,2020-01-01,10,137,0.93,13370.48,456.06,0.97
31143,Larraona,2020-01-01,0,22,1.00,2247.13,0.00,1.00
31144,Larraun,2020-01-01,6,152,0.96,15726.63,131.70,0.99
31145,Lazagurría,2020-01-01,0,17,1.00,3089.79,0.00,1.00
31146,Leatxe/Leache,2020-01-01,0,15,1.00,1640.67,0.00,1.00
31147,Legarda,2020-01-01,0,14,1.00,1480.25,0.00,1.00
31148,Legaria,2020-01-01,5,31,0.84,3324.44,257.52,0.92
31149,Leitza,2020-01-01,0,79,1.00,7889.32,0.00,1.00
31150,Leoz,2020-01-01,3,71,0.96,7368.71,44.62,0.99
31151,Lerga,2020-01-01,1,20,0.95,2052.44,9.53,1.00
31152,Lerín,2020-01-01,5,70,0.93,11450.67,821.19,0.93
31153,Lesaka,2020-01-01,11,47,0.77,6160.20,887.32,0.86
31154,Lezaun,2020-01-01,1,22,0.95,3396.10,48.10,0.99
31155,Liédena,2020-01-01,8,34,0.76,5068.31,754.66,0.85
31156,Lizoáin,2020-01-01,2,73,0.97,7072.86,140.61,0.98
31157,Lodosa,2020-01-01,10,138,0.93,18325.85,449.17,0.98
31158,Lónguida/Longida,2020-01-01,3,62,0.95,6544.18,249.93,0.96
31159,Lumbier,2020-01-01,5,59,0.92,5836.73,315.98,0.95
31160,Luquin,2020-01-01,1,17,0.94,1913.57,13.84,0.99
31161,Mañeru,2020-01-01,3,36,0.92,3371.18,125.61,0.96
31162,Marañón,2020-01-01,6,21,0.71,3422.95,242.46,0.93
31163,Marcilla,2020-01-01,14,90,0.84,11414.09,1295.21,0.89
31164,Mélida,2020-01-01,21,67,0.69,11901.54,2123.16,0.82
31165,Mendavia,2020-01-01,15,121,0.88,22853.99,1382.87,0.94
31166,Mendaza,2020-01-01,0,45,1.00,5924.35,0.00,1.00
31167,Mendigorría,2020-01-01,2,33,0.94,6718.37,127.22,0.98
31168,Metauten,2020-01-01,3,60,0.95,5879.73,98.60,0.98
31169,Milagro,2020-01-01,6,107,0.94,19084.99,1038.36,0.95
31170,Mirafuentes,2020-01-01,0,10,1.00,940.49,0.00,1.00
31171,Miranda de Arga,2020-01-01,1,40,0.98,7056.33,114.86,0.98
31172,Monreal,2020-01-01,0,29,1.00,4365.03,0.00,1.00
31173,Monteagudo,2020-01-01,5,38,0.87,7240.68,229.74,0.97
31174,Morentin,2020-01-01,2,17,0.88,1978.71,56.11,0.97
31175,Mues,2020-01-01,1,23,0.96,2564.56,53.20,0.98
31176,Murchante,2020-01-01,21,106,0.80,20407.23,2665.09,0.87
31177,Murieta,2020-01-01,3,30,0.90,4533.19,631.53,0.86
31178,Murillo el Cuende,2020-01-01,13,60,0.78,7902.43,1295.46,0.84
31179,Murillo el Fruto,2020-01-01,1,48,0.98,7042.58,81.74,0.99
