id,ES-B,ES-CT,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
08240,ES-B,ES-CT,Sant Sadurní d'Anoia,2020-01-01,1,263,1.00,87.30,35572.36,1.00
08241,ES-B,ES-CT,Sant Sadurní d'Osormort,2020-01-01,0,5,1.00,0.00,637.98,1.00
08242,ES-B,ES-CT,Marganell,2020-01-01,2,22,0.91,30.48,8170.90,1.00
08243,ES-B,ES-CT,Santa Cecília de Voltregà,2020-01-01,0,5,1.00,0.00,431.83,1.00
08244,ES-B,ES-CT,Santa Coloma de Cervelló,2020-01-01,8,170,0.95,211.50,31009.67,0.99
08245,ES-B,ES-CT,Santa Coloma de Gramenet,2020-01-01,0,625,1.00,0.00,66740.10,1.00
08246,ES-B,ES-CT,Santa Eugènia de Berga,2020-01-01,15,89,0.83,762.35,11729.66,0.94
08247,ES-B,ES-CT,Santa Eulàlia de Riuprimer,2020-01-01,2,49,0.96,145.74,5274.44,0.97
08248,ES-B,ES-CT,Santa Eulàlia de Ronçana,2020-01-01,11,232,0.95,1311.34,52059.29,0.97
08249,ES-B,ES-CT,Santa Fe del Penedès,2020-01-01,0,17,1.00,0.00,1233.69,1.00
08250,ES-B,ES-CT,Santa Margarida de Montbui,2020-01-01,4,151,0.97,389.46,22612.92,0.98
08251,ES-B,ES-CT,Santa Margarida i els Monjos,2020-01-01,0,164,1.00,0.00,27557.55,1.00
08252,ES-B,ES-CT,Barberà del Vallès,2020-01-01,90,435,0.79,7725.52,72114.44,0.89
08253,ES-B,ES-CT,Santa Maria de Besora,2020-01-01,0,12,1.00,0.00,1152.95,1.00
08254,ES-B,ES-CT,l'Esquirol,2020-01-01,7,105,0.93,813.16,18442.15,0.96
08255,ES-B,ES-CT,Santa Maria de Merlès,2020-01-01,0,3,1.00,0.00,158.74,1.00
08256,ES-B,ES-CT,Santa Maria de Martorelles,2020-01-01,9,20,0.55,973.90,3313.26,0.71
08257,ES-B,ES-CT,Santa Maria de Miralles,2020-01-01,0,1,1.00,0.00,452.71,1.00
08258,ES-B,ES-CT,Santa Maria d'Oló,2020-01-01,15,40,0.63,1227.11,6644.25,0.82
08259,ES-B,ES-CT,Santa Maria de Palautordera,2020-01-01,50,291,0.83,3633.36,57432.90,0.94
08260,ES-B,ES-CT,Santa Perpètua de Mogoda,2020-01-01,62,403,0.85,5988.70,73301.66,0.92
08261,ES-B,ES-CT,Santa Susanna,2020-01-01,10,192,0.95,801.54,38319.42,0.98
08262,ES-B,ES-CT,Sant Vicenç de Castellet,2020-01-01,1,167,0.99,22.80,32967.17,1.00
08263,ES-B,ES-CT,Sant Vicenç dels Horts,2020-01-01,13,819,0.98,652.53,75211.70,0.99
08264,ES-B,ES-CT,Sant Vicenç de Montalt,2020-01-01,36,248,0.85,4289.11,45599.34,0.91
08265,ES-B,ES-CT,Sant Vicenç de Torelló,2020-01-01,50,106,0.53,3940.60,12574.08,0.69
08266,ES-B,ES-CT,Cerdanyola del Vallès,2020-01-01,87,704,0.88,4117.47,112259.15,0.96
08267,ES-B,ES-CT,Sentmenat,2020-01-01,18,214,0.92,1265.61,47918.88,0.97
08268,ES-B,ES-CT,Cercs,2020-01-01,8,78,0.90,451.50,10493.59,0.96
08269,ES-B,ES-CT,Seva,2020-01-01,25,245,0.90,1046.79,54916.02,0.98
08270,ES-B,ES-CT,Sitges,2020-01-01,25,679,0.96,1893.03,102456.67,0.98
08271,ES-B,ES-CT,Sobremunt,2020-01-01,0,8,1.00,0.00,997.00,1.00
08272,ES-B,ES-CT,Sora,2020-01-01,0,22,1.00,0.00,2551.78,1.00
08273,ES-B,ES-CT,Subirats,2020-01-01,0,183,1.00,0.00,27554.68,1.00
