id,ES-Z,ES-AR,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
50052,ES-Z,ES-AR,Bisimbre,2020-01-01,5,5,0.00,976.14,976.14,0.00
50053,ES-Z,ES-AR,Boquiñeni,2020-01-01,26,28,0.07,4800.88,5444.58,0.12
50054,ES-Z,ES-AR,Bordalba,2020-01-01,13,13,0.00,2628.28,2628.28,0.00
50055,ES-Z,ES-AR,Borja,2020-01-01,71,168,0.58,10070.67,22511.41,0.55
50056,ES-Z,ES-AR,Botorrita,2020-01-01,13,39,0.67,2441.67,6764.93,0.64
50057,ES-Z,ES-AR,Brea de Aragón,2020-01-01,17,17,0.00,4433.56,4433.56,0.00
50058,ES-Z,ES-AR,Bubierca,2020-01-01,9,9,0.00,1642.48,1642.48,0.00
50059,ES-Z,ES-AR,Bujaraloz,2020-01-01,25,61,0.59,2371.14,8469.33,0.72
50060,ES-Z,ES-AR,Bulbuente,2020-01-01,13,24,0.46,2178.16,3587.12,0.39
50061,ES-Z,ES-AR,Bureta,2020-01-01,20,20,0.00,3488.11,3488.11,0.00
50062,ES-Z,ES-AR,El Burgo de Ebro,2020-01-01,74,145,0.49,13089.69,29936.19,0.56
50063,ES-Z,ES-AR,El Buste,2020-01-01,7,7,0.00,1254.94,1254.94,0.00
50064,ES-Z,ES-AR,Cabañas de Ebro,2020-01-01,4,30,0.87,235.09,3951.92,0.94
50065,ES-Z,ES-AR,Cabolafuente,2020-01-01,25,25,0.00,4596.67,4596.67,0.00
50066,ES-Z,ES-AR,Cadrete,2020-01-01,46,241,0.81,5186.22,42561.69,0.88
50067,ES-Z,ES-AR,Calatayud,2020-01-01,194,383,0.49,23254.49,53088.95,0.56
50068,ES-Z,ES-AR,Calatorao,2020-01-01,47,75,0.37,9680.58,16350.72,0.41
50069,ES-Z,ES-AR,Calcena,2020-01-01,12,12,0.00,2133.43,2133.43,0.00
50070,ES-Z,ES-AR,Calmarza,2020-01-01,5,23,0.78,210.33,1545.60,0.86
50071,ES-Z,ES-AR,Campillo de Aragón,2020-01-01,14,14,0.00,1666.20,1666.20,0.00
50072,ES-Z,ES-AR,Carenas,2020-01-01,20,21,0.05,2960.65,3129.92,0.05
50073,ES-Z,ES-AR,Cariñena,2020-01-01,102,132,0.23,16074.74,23641.47,0.32
50074,ES-Z,ES-AR,Caspe,2020-01-01,51,243,0.79,11661.25,40011.15,0.71
50075,ES-Z,ES-AR,Castejón de Alarba,2020-01-01,10,10,0.00,1658.41,1658.41,0.00
50076,ES-Z,ES-AR,Castejón de las Armas,2020-01-01,12,12,0.00,1928.40,1928.40,0.00
50077,ES-Z,ES-AR,Castejón de Valdejasa,2020-01-01,21,22,0.05,3452.08,3694.67,0.07
50078,ES-Z,ES-AR,Castiliscar,2020-01-01,10,42,0.76,1081.94,4397.09,0.75
50079,ES-Z,ES-AR,Cervera de la Cañada,2020-01-01,13,13,0.00,2331.02,2331.02,0.00
50080,ES-Z,ES-AR,Cerveruela,2020-01-01,1,9,0.89,27.88,661.08,0.96
50081,ES-Z,ES-AR,Cetina,2020-01-01,33,89,0.63,6508.58,14088.53,0.54
50082,ES-Z,ES-AR,Cimballa,2020-01-01,25,25,0.00,2509.80,2509.80,0.00
50083,ES-Z,ES-AR,Cinco Olivas,2020-01-01,2,11,0.82,132.10,2183.12,0.94
50084,ES-Z,ES-AR,Clarés de Ribota,2020-01-01,2,2,0.00,215.74,215.74,0.00
50085,ES-Z,ES-AR,Codo,2020-01-01,11,14,0.21,1752.37,2258.11,0.22
50086,ES-Z,ES-AR,Codos,2020-01-01,11,11,0.00,2027.64,2027.64,0.00
50087,ES-Z,ES-AR,Contamina,2020-01-01,0,9,1.00,0.00,978.59,1.00
