id,ES-BU,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
09168,ES-BU,ES-CL,La Horra,2020-01-01,48,64,0.25,3092.60,5602.61,0.45
09169,ES-BU,ES-CL,Hortigüela,2020-01-01,1,70,0.99,43.31,3656.54,0.99
09170,ES-BU,ES-CL,Hoyales de Roa,2020-01-01,20,36,0.44,1226.75,3584.81,0.66
09172,ES-BU,ES-CL,Huérmeces,2020-01-01,19,49,0.61,1751.48,4411.78,0.60
09173,ES-BU,ES-CL,Huerta de Arriba,2020-01-01,29,36,0.19,1873.19,2582.83,0.27
09174,ES-BU,ES-CL,Huerta de Rey,2020-01-01,40,137,0.71,3804.31,13776.15,0.72
09175,ES-BU,ES-CL,Humada,2020-01-01,60,63,0.05,5691.61,6121.66,0.07
09176,ES-BU,ES-CL,Hurones,2020-01-01,2,23,0.91,337.54,1730.73,0.80
09177,ES-BU,ES-CL,Ibeas de Juarros,2020-01-01,81,238,0.66,3725.41,19019.25,0.80
09178,ES-BU,ES-CL,Ibrillos,2020-01-01,15,15,0.00,880.81,880.81,0.00
09179,ES-BU,ES-CL,Iglesiarrubia,2020-01-01,3,32,0.91,273.65,2703.55,0.90
09180,ES-BU,ES-CL,Iglesias,2020-01-01,36,36,0.00,2669.26,2669.26,0.00
09181,ES-BU,ES-CL,Isar,2020-01-01,55,95,0.42,4365.67,7685.36,0.43
09182,ES-BU,ES-CL,Itero del Castillo,2020-01-01,24,42,0.43,1463.25,2989.59,0.51
09183,ES-BU,ES-CL,Jaramillo de la Fuente,2020-01-01,23,27,0.15,1858.75,2036.52,0.09
09184,ES-BU,ES-CL,Jaramillo Quemado,2020-01-01,17,21,0.19,1264.20,2075.48,0.39
09189,ES-BU,ES-CL,Junta de Traslaloma,2020-01-01,76,99,0.23,8800.26,11317.44,0.22
09190,ES-BU,ES-CL,Junta de Villalba de Losa,2020-01-01,36,38,0.05,4217.28,4374.80,0.04
09191,ES-BU,ES-CL,Jurisdicción de Lara,2020-01-01,46,46,0.00,3084.09,3084.09,0.00
09192,ES-BU,ES-CL,Jurisdicción de San Zadornil,2020-01-01,44,44,0.00,3145.96,3145.96,0.00
09194,ES-BU,ES-CL,Lerma,2020-01-01,97,289,0.66,13791.60,32811.04,0.58
09195,ES-BU,ES-CL,Llano de Bureba,2020-01-01,6,23,0.74,357.04,1572.79,0.77
09196,ES-BU,ES-CL,Madrigal del Monte,2020-01-01,2,86,0.98,23.87,4115.65,0.99
09197,ES-BU,ES-CL,Madrigalejo del Monte,2020-01-01,29,69,0.58,2560.63,5153.51,0.50
09198,ES-BU,ES-CL,Mahamud,2020-01-01,27,68,0.60,660.99,3699.41,0.82
09199,ES-BU,ES-CL,Mambrilla de Castrejón,2020-01-01,1,24,0.96,43.07,1773.26,0.98
09200,ES-BU,ES-CL,Mambrillas de Lara,2020-01-01,35,46,0.24,1848.59,2641.82,0.30
09201,ES-BU,ES-CL,Mamolar,2020-01-01,11,36,0.69,579.65,1481.21,0.61
09202,ES-BU,ES-CL,Manciles,2020-01-01,7,11,0.36,793.71,1101.24,0.28
09206,ES-BU,ES-CL,Mazuela,2020-01-01,45,45,0.00,2896.95,2896.95,0.00
09208,ES-BU,ES-CL,Mecerreyes,2020-01-01,3,74,0.96,424.18,3783.13,0.89
09209,ES-BU,ES-CL,Medina de Pomar,2020-01-01,38,788,0.95,3227.13,98140.76,0.97
09211,ES-BU,ES-CL,Melgar de Fernamental,2020-01-01,60,179,0.66,8819.98,22283.77,0.60
